Index,Name,Emergency,HighZeroBias,HighZeroBias_NoMuShowers,HalfZeroBias,OnlyPhysics,HighRandom,HighRandom_NoMuShowers,Unprescaled
0,L1_AlwaysTrue,0,0,0,0,0,0,0,1
1,L1_ZeroBias,17881,523,523,523,523,523,523,1
2,L1_ZeroBias_copy,0,0,0,0,0,0,0,1
3,L1_BPTX_AND_Ref1_VME,0,0,0,0,0,0,0,1
4,L1_BPTX_AND_Ref3_VME,0,0,0,0,0,0,0,1
5,L1_BPTX_AND_Ref4_VME,0,0,0,0,0,0,0,1
6,L1_BPTX_BeamGas_B1_VME,0,0,0,0,0,0,0,1
7,L1_BPTX_BeamGas_B2_VME,0,0,0,0,0,0,0,1
8,L1_BPTX_BeamGas_Ref1_VME,0,0,0,0,0,0,0,1
9,L1_BPTX_BeamGas_Ref2_VME,0,0,0,0,0,0,0,1
10,L1_BPTX_NotOR_VME,0,0,0,0,0,0,0,1
11,L1_BPTX_OR_Ref3_VME,0,0,0,0,0,0,0,1
12,L1_BPTX_OR_Ref4_VME,0,0,0,0,0,0,0,1
13,L1_BPTX_RefAND_VME,0,0,0,0,0,0,0,1
14,L1_BptxMinus,0,0,0,0,0,0,0,1
15,L1_BptxPlus,0,0,0,0,0,0,0,1
16,L1_BptxOR,0,0,0,0,0,0,0,1
17,L1_BptxXOR,0,0,0,0,0,0,0,1
18,L1_NotBptxOR,0,772789,772789,772789,772789,772789,772789,1
19,L1_FirstBunchBeforeTrain,0,0,0,0,0,0,0,1
20,L1_FirstBunchInTrain,0,0,0,0,0,0,0,1
21,L1_SecondBunchInTrain,0,0,0,0,0,0,0,1
22,L1_SecondLastBunchInTrain,0,0,0,0,0,0,0,1
23,L1_LastBunchInTrain,0,0,0,0,0,0,0,1
24,L1_FirstBunchAfterTrain,0,0,0,0,0,0,0,1
25,L1_IsolatedBunch,0,0,0,0,0,0,0,1
26,L1_UnpairedBunchBptxPlus,0,9901,9901,9901,9901,9901,9901,1
27,L1_UnpairedBunchBptxMinus,0,9901,9901,9901,9901,9901,9901,1
28,L1_FirstCollisionInTrain,0,0,0,0,0,0,0,1
29,L1_LastCollisionInTrain,0,0,0,0,0,0,0,1
30,L1_FirstCollisionInOrbit,0,1123,1123,1123,1123,1123,1123,1
31,L1_HCAL_LaserMon_Trig,0,0,0,0,0,0,0,1
32,L1_HCAL_LaserMon_Veto,0,0,0,0,0,0,0,1
33,L1_HTT120er,0,0,0,0,0,0,0,1
34,L1_HTT160er,0,0,0,0,0,0,0,1
35,L1_HTT200er,0,0,0,0,0,0,0,1
36,L1_HTT255er,0,0,0,0,0,0,0,1
37,L1_HTT280er,0,0,0,0,0,0,0,1
38,L1_HTT320er,0,0,0,0,0,0,0,1
39,L1_HTT360er,0,0,0,0,0,0,0,1
40,L1_HTT400er,0,0,0,0,0,0,0,1
41,L1_HTT450er,0,0,0,0,0,0,0,1
42,L1_ETT2000,0,0,0,0,0,0,0,1
43,L1_MinimumBiasHF0_AND_BptxAND,0,0,0,0,0,0,0,1
44,L1_MinimumBiasHF0_OR_BptxAND,0,0,0,0,0,0,0,1
