Index,Name,Emergency,SuperSafe,HighRandoms,OnlyRandoms,TrackerTest,AllMB,AllMB_ExtraUPC2kHz,AllMB_ExtraUPC2kHz_ZB5kHz,AllMB_ExtraUPC3kHz,AllMB_ExtraUPC3kHz_ZB5kHz,AllMB_ExtraUPC4kHz,AllMB_ExtraUPC4kHz_ZB5kHz,AllMB_ExtraUPC5kHz,AllMB_ExtraUPC5kHz_ZB5kHz,AllMB_ExtraUPC6kHz,AllMB_ExtraUPC7kHz,AllMB_ExtraUPC8kHz,AllMB_ExtraUPC9kHz,AllMB_ExtraUPC10kHz,AllMB_ExtraUPC12kHz,AllMB_ExtraUPC14kHz,AllMB_ExtraUPC16kHz,AllMB_ExtraUPC18kHz,AllMB_ExtraUPC20kHz,AllMB_ExtraUPC22kHz,AllMB_ExtraUPC24kHz,AllMB_ExtraUPC26kHz,AllMB_ExtraUPC28kHz,AllMB_ExtraUPC30kHz,AllMB_ExtraUPC32kHz,AllMB_ExtraUPC34kHz,AllMB_ExtraUPC38kHz,AllMB_ExtraUPC42kHz,AllMB_ExtraUPC46kHz,AllMB_ExtraUPC50kHz,AllMB_ExtraUPC54kHz,AllMB_ExtraUPC58kHz,AllMB_ExtraUPC62kHz,AllMB_ExtraUPC66kHz,AllMB_ExtraUPC70kHz,AllMB_ExtraUPC74kHz,AllMB_ExtraUPC78kHz
23,L1_FirstBunchInTrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,L1_IsolatedBunch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,L1_LastBunchInTrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,L1_SecondBunchInTrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,L1_SecondLastBunchInTrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,L1_UnpairedBunchBptxMinus,0,143947,143947,0,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947
29,L1_UnpairedBunchBptxPlus,0,143947,143947,0,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947,143947
30,L1_FirstCollisionInTrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,L1_LastCollisionInTrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,L1_FirstCollisionInOrbit,0,1123,1123,0,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123
33,L1_FirstCollisionInOrbit_Centrality30_100_BptxAND,0,1123,1123,0,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123
